mol,A1_5,A1_10,A1_20,A1_40,A1_80,A2_5,A2_10,A2_20,A2_40,A2_80,A1_pore_5,A1_pore_10,A1_pore_20,A1_pore_40,A1_pore_80,A2_pore_5,A2_pore_10,A2_pore_20,A2_pore_40,A2_pore_80,A1_pd3_5,A1_pd3_10,A1_pd3_20,A1_pd3_40,A1_pd3_80,A2_pd3_5,A2_pd3_10,A2_pd3_20,A2_pd3_40,A2_pd3_80,A1_pd3pore_5,A1_pd3pore_10,A1_pd3pore_20,A1_pd3pore_40,A1_pd3pore_80,A2_pd3pore_5,A2_pd3pore_10,A2_pd3pore_20,A2_pd3pore_40,A2_pd3pore_80
DP-0000275,14.06,24.35,50.52,128.38,260,17.28,27.17,47.97,90,170,15.97,27.56,38.29,74.64,145,15.53,23.38,36.3,91.66,180,16.46,30.78,54.84,86.11,165,20.32,31.33,46.31,87.06,165,21.17,30.6,48.91,106.04,200,20.31,33.45,58.11,101.73,200
DP-0000352,,101.1,148.08,205.49,334.91,,80.04,145.6,249.66,437.03,,87.99,152.35,288.59,431.22,,98.71,153.5,327.19,589.33,,80.02,103.28,160,275.31,,56.43,146.1,178.65,291.23,,65.58,116.74,126.7,297.11,,69.09,141.25,214.57,326.93
DP-0000375,,20.82,41.41,89.93,227.38,,27.24,48.51,86.45,166.59,,19.28,43.17,109.34,178.31,,30.43,57.4,87.35,278.5,,10.35,23.66,59.58,91.44,,14.56,27.24,42.06,120.84,,5,26.58,52.59,136.48,,16.52,36.35,45.91,146.94
DP-0000481,,0.59,1.17,2.32,4.84,,0.69,1.18,1.73,3.11,,1.1,1.52,2.63,4.877,,1.1,1.6,2.8,5,,,,,,,,,,,,,,,,,,,,
DP-0000485,,7.07,22.34,45.93,130.26,,5.17,20.14,48.53,108.69,,7.35,30,65.44,105.65,,6.5,34.82,68.12,110,,10.84,13.5,67.31,105.13,,8.79,18.63,33.08,152.71,,8.87,17.44,39.51,92.39,,8.12,19.46,44.66,83.24
DP-0000490,,11.93,25.5,47.95,77.1,,9.73,27.97,34.66,80.88,,13.41,26.76,46.2,109.11,,12.08,25.32,38.52,81.96,,13.2,22.22,49.71,94.36,,15.68,35.56,59.6,86.8,,13.42,22.63,51.94,108.11,,10.05,20.63,34.84,94.02
DP-0000492,,12.5,17.83,23.84,43.87,,10.02,18.29,33.61,61.13,,12.05,31.61,56.1,220.99,,9.22,23.06,53.93,147.23,,7.9,9.97,17.78,26.81,,13.07,17.8,28.31,48.14,,9.61,26.51,52.1,67.57,,10.56,24.66,55.31,91.85
DP-0000498,,3.96,6.27,37.6,90.02,,5.67,8.41,16.44,60.63,,18.39,54.9,58.23,203.36,,12.21,22.59,48.76,116.91,,1.81,1.04,2.72,14.67,,1.25,1.06,2.97,14.75,,15.68,20.53,58.69,168.23,,17.56,27.05,73.93,142.58
DP-0000499,,7.34,10.75,20.61,53.42,,8.66,9.34,20.04,61.88,,11.94,18.45,58.68,83.24,,6.6,14.23,25.28,58.21,,4.38,8.07,16.21,33.89,,6.09,9.18,16.61,44.74,,3.96,20.81,27.42,45.45,,6.54,17.05,20.97,61.38
DP-0000548,,50.31,108.54,235.19,469.2,,58.29,110.22,236.74,513.66,,39.44,96,171.97,358.46,,55.15,127.89,229.22,423.22,,30.73,77.66,135.53,348.56,,43.34,79.6,246.34,346.6,,49.19,79.51,164.95,248.07,,10.59,94.14,127.58,280.23
DP-0000551,,68.25,167.59,249.23,439.26,,66.48,149.91,221.62,474.58,,103.67,240.92,366.46,659.61,,102.31,213.13,290.64,767.86,,52.26,116.87,213.39,480.08,,57.14,100.75,211.7,509.03,,89.97,170.85,351,929.21,,89.04,184.16,333.95,887.32
