molecule,wt_A1,pore_A1,D3_A1,d3-pore_A1,,pore/wt_A1,D3/wt_A1,D3-pore/wt_A1,,wt_A2,pore_A2,D3_A2,d3-pore_A2,,pore/wt_A2,D3/wt_A2,D3-pore/wt_A2
DP-0000552,4.156,4.707,2.883,3.64,,1.132579403,0.693695861,0.875842156,,4.505,5.09,2.96,3.294,,1.129855716,0.657047725,0.731187569
DP-0000553,0.968,1.599,1.013,1.419,,1.651859504,1.046487603,1.465909091,,1.15,2.87,1.299,2.175,,2.495652174,1.129565217,1.891304348
DP-0000555,3.491,5.733,3.737,5.397,,1.642222859,1.070466915,1.545975365,,4.45,7.161,3.663,5.784,,1.609213483,0.823146067,1.299775281
DP-0000556,1.817,2.314,1.61,2.214,,1.273527793,0.886075949,1.21849202,,3.85,3.001,2.827,3.849,,0.779480519,0.734285714,0.99974026
DP-0000558,5.06,5.735,4.011,4.062,,1.133399209,0.792687747,0.802766798,,4.743,6.282,3.994,5.363,,1.324478178,0.84208307,1.130718954
DP-0000559,9.386,15.824,9.402,20.746,,1.685915193,1.001704667,2.210313232,,9.649,15.538,9.482,20.889,,1.610322313,0.982692507,2.164887553
DP-0000560,9.116,16.005,13.662,27.367,,1.755704256,1.498683633,3.002084247,,9.639,20.053,18.965,18.754,,2.080402531,1.967527752,1.945637514
DP-0000562,2.545,4.009,2.64,5.067,,1.57524558,1.037328094,1.990962672,,2.514,4.63,2.547,5.925,,1.841686555,1.013126492,2.356801909
DP-0000563,2.679,4.583,3.422,5.804,,1.710712953,1.277342292,2.16648003,,2.731,7.051,4.954,8.664,,2.581838155,1.81398755,3.172464299
G210-2547,5.729,13.745,7.005,16.558,,2.399197068,1.222726479,2.890207715,,5.788,11.918,8.288,14.924,,2.059087768,1.431928127,2.578438148
G414-0762,3.218,3.821,3.387,4.015,,1.187383468,1.052517091,1.24766936,,3.284,4.276,3.655,3.658,,1.302070646,1.112971985,1.113885505
G414-0778,5.656,5.94,5.14,6.883,,1.050212164,0.908769448,1.216937765,,5.731,7.413,4.9,8.105,,1.293491537,0.854999128,1.414238353
G414-1139,2.306,2.444,3.09,2.893,,1.059843886,1.339982654,1.254553339,,3.862,5.495,3.582,6.115,,1.422837908,0.927498705,1.583376489
G414-1230,2.597,2.9,3.043,4.029,,1.116673084,1.171736619,1.551405468,,2.667,3.007,2.69,3.824,,1.127484064,1.008623922,1.433820772
NSC_66754,0.203,0.065,0.167,0.055,,0.320197044,0.822660099,0.270935961,,0.197,0.157,0.113,1.016,,0.796954315,0.573604061,5.157360406
NSC_66761,0.396,0.419,0.39,0.398,,1.058080808,0.984848485,1.005050505,,0.451,0.263,0.298,0.311,,0.583148559,0.66075388,0.689578714
NSC_67729,2.941,2.717,2.75,2.047,,0.92383543,0.935056103,0.696021761,,3.508,4.401,2.775,2.905,,1.254561003,0.791049031,0.828107184
NSC_67735,0.118,0.022,0.091,0.051,,0.186440678,0.771186441,0.43220339,,0.031,0.03,0.025,0.014,,0.967741935,0.806451613,0.451612903
NSC_70687,0.05,0.055,0.057,0.057,,1.1,1.14,1.14,,0.047,0.054,0.026,0.057,,1.14893617,0.553191489,1.212765957
NSC_70691,0.825,0.339,1.383,0.853,,0.410909091,1.676363636,1.033939394,,0.189,0.379,0.214,0.351,,2.005291005,1.132275132,1.857142857
NSC_70695,0.455,0.181,0.385,0.326,,0.397802198,0.846153846,0.716483516,,0.411,0.107,0.363,0.133,,0.260340633,0.883211679,0.323600973
NSC_72381,0.143,0.093,0.191,0.144,,0.65034965,1.335664336,1.006993007,,0.185,0.085,0.168,0.099,,0.459459459,0.908108108,0.535135135
NSC_72382,0.35,0.401,0.495,0.473,,1.145714286,1.414285714,1.351428571,,0.371,0.295,0.388,0.525,,0.795148248,1.045822102,1.41509434
NSC_72564,0.631,0.257,0.644,0.158,,0.407290016,1.020602219,0.250396197,,0.545,0.187,0.346,0.119,,0.343119266,0.634862385,0.218348624
NSC_72586,0.823,0.26,1.736,0.315,,0.315917375,2.109356015,0.382746051,,0.338,0.115,0.63,0.318,,0.340236686,1.863905325,0.940828402
ST001786,1.897,4.887,2.119,4.539,,2.576172905,1.117026885,2.392725356,,4.034,3.669,2.116,3.478,,0.909519088,0.524541398,0.862171542
ST002653,12.05,24.351,14.179,26.338,,2.020829876,1.176680498,2.185726141,,14.062,21.95,15.306,24.328,,1.560944389,1.088465368,1.730052624
ST003326,13.146,13.613,7.944,15.081,,1.035524114,0.604290278,1.147193063,,14.292,16.764,10.379,15.72,,1.172963896,0.726210467,1.099916037
ST024061,0.77,0.264,0.458,0.386,,0.342857143,0.594805195,0.501298701,,0.239,0.048,0.107,0.224,,0.20083682,0.447698745,0.937238494
ST038872,4.226,5.39,4.402,6.274,,1.275437766,1.041646947,1.484619025,,4.507,5.238,4.476,6.413,,1.162192146,0.993121811,1.422897715
ST044917,4.699,6.981,4.688,7.698,,1.485635242,0.997659076,1.638220898,,6.179,9.24,5.914,10.655,,1.495387603,0.957112801,1.72438906
ST045207,3.319,4.684,4.27,6.932,,1.411268454,1.286532088,2.088580898,,3.561,5.019,4.617,7.404,,1.409435552,1.296545914,2.079191238
ST045323,0.032,0.086,0.081,0.171,,2.6875,2.53125,5.34375,,0.039,0.035,0.045,0.082,,0.897435897,1.153846154,2.102564103
ST049791,3.84,6.73,3.749,6.134,,1.752604167,0.976302083,1.597395833,,4.877,6.241,4.151,6.281,,1.279680131,0.851137995,1.287881895
ST049792,3.296,6.155,4.654,6.662,,1.867415049,1.412014563,2.021237864,,3.413,5.508,5.113,7.149,,1.613829476,1.498095517,2.094638148
ST049942,2.591,1.853,2.069,2.567,,0.715167889,0.798533385,0.990737167,,2.379,2,2.217,2.283,,0.840689365,0.931904161,0.95964691
ST050757,6.436,6.215,5.348,6.324,,0.965661902,0.830950901,0.982597887,,5.066,5.745,3.371,4.731,,1.134030794,0.665416502,0.933872878
ST057111,0.808,1.463,1.31,1.613,,1.810643564,1.621287129,1.996287129,,1.329,1.601,2.082,2.06,,1.204665162,1.566591422,1.550037622
ST057338,2.339,6.375,3.189,7.828,,2.725523728,1.363403164,3.346729372,,4.06,7.989,4.125,8.336,,1.96773399,1.016009852,2.05320197
ST074710,2.219,4.07,2.493,3.694,,1.834159531,1.123479045,1.664713835,,3.312,3.862,3.265,3.836,,1.166062802,0.985809179,1.15821256
ST074716,3.882,3.874,4.953,4.871,,0.997939207,1.275888717,1.254765585,,3.04,4.275,4.721,5.291,,1.40625,1.552960526,1.740460526
D724-0097,8.983,12.088,8.991,11.896,,1.3456529,1.000890571,1.324279194,,9.6,12.312,8.999,11.838,,1.2825,0.937395833,1.233125
ciprofloxacin,2.083,4.464,3.877,4.034,,2.14306289,1.861257801,1.936629861,,3.232,4.005,2.535,3.767,,1.239170792,0.784344059,1.165532178
linezolid,3.528,2.344,3.619,4.464,,0.664399093,1.025793651,1.265306122,,3.555,2.618,3.682,4.779,,0.736427567,1.035724332,1.344303797
